 ,q_and_a,question,answer
109,"""What does it mean when the Power LED flashes Red two times, once every second, followed by a two second pause, and the computer beeps two times?### It means the processor thermal protection has been activated. This could be due to a fan being blocked or not turning. It's recommended to ensure that the computer air vents are not blocked and the processor cooling fan is running. If the fan is not spinning, it should be checked if it's properly plugged onto the system board header and properly seated. If the fan is still not spinning, it should be replaced. The processor heatsink should also be reseated and verified that the fan assembly is properly attached. If the problem persists, it's advised to contact an authorized reseller or service provider.","""What does it mean when the Power LED flashes Red two times, once every second, followed by a two second pause, and the computer beeps two times?","It means the processor thermal protection has been activated. This could be due to a fan being blocked or not turning. It's recommended to ensure that the computer air vents are not blocked and the processor cooling fan is running. If the fan is not spinning, it should be checked if it's properly plugged onto the system board header and properly seated. If the fan is still not spinning, it should be replaced. The processor heatsink should also be reseated and verified that the fan assembly is properly attached. If the problem persists, it's advised to contact an authorized reseller or service provider."
110,"""What should I do if the system does not power on and the LEDs on the front of the computer are not flashing?### First, press and hold the power button for less than 4 seconds. If the hard drive LED turns green, check the voltage selector, remove the expansion cards one at a time until the 5V_aux light on the system board turns on, and if necessary, replace the system board. If the hard drive LED does not turn on green, ensure the unit is plugged into a working AC outlet, check that the power button harness is properly connected to the system board, verify that both power supply cables are properly connected to the system board, check the 5V_aux light on the system board, and if necessary, replace the power button harness, the power supply, or the system board.","""What should I do if the system does not power on and the LEDs on the front of the computer are not flashing?","First, press and hold the power button for less than 4 seconds. If the hard drive LED turns green, check the voltage selector, remove the expansion cards one at a time until the 5V_aux light on the system board turns on, and if necessary, replace the system board. If the hard drive LED does not turn on green, ensure the unit is plugged into a working AC outlet, check that the power button harness is properly connected to the system board, verify that both power supply cables are properly connected to the system board, check the 5V_aux light on the system board, and if necessary, replace the power button harness, the power supply, or the system board."
111,"""What are some common causes and solutions for power supply problems?### Some common causes for power supply problems include the voltage selector switch not being switched to the correct line voltage and internal power supply fault. The solutions would be to select the proper AC voltage using the selector switch and to contact an authorized service provider to replace the power supply, respectively.","""What are some common causes and solutions for power supply problems?","Some common causes for power supply problems include the voltage selector switch not being switched to the correct line voltage and internal power supply fault. The solutions would be to select the proper AC voltage using the selector switch and to contact an authorized service provider to replace the power supply, respectively."
112,"""What should I do if the power supply shuts down intermittently?### If the power supply shuts down intermittently, it could be due to the voltage selector switch on the rear of the computer chassis not being switched to the correct line voltage. The solution would be to select the proper AC voltage using the selector switch.","""What should I do if the power supply shuts down intermittently?","If the power supply shuts down intermittently, it could be due to the voltage selector switch on the rear of the computer chassis not being switched to the correct line voltage. The solution would be to select the proper AC voltage using the selector switch."
113,"""What should I do if the power supply will not turn on because of internal power supply fault?### If the power supply will not turn on because of internal power supply fault, the solution would be to contact an authorized service provider to replace the power supply.","""What should I do if the power supply will not turn on because of internal power supply fault?","If the power supply will not turn on because of internal power supply fault, the solution would be to contact an authorized service provider to replace the power supply."
114,"""What should I do if the computer powered off automatically and the Power LED flashes Red two times, once every second, followed by a two second pause, and the computer beeps two times?### It means the processor thermal protection has been activated. This could be due to a fan being blocked or not turning. It's recommended to ensure that the computer air vents are not blocked and the processor cooling fan is running. If the fan is not spinning, it should be checked if it's properly plugged onto the system board header and properly seated. If the fan is still not spinning, it should be replaced. The processor heatsink should also be reseated and verified that the fan assembly is properly attached. If the problem persists, it's advised to contact an authorized reseller or service provider.","""What should I do if the computer powered off automatically and the Power LED flashes Red two times, once every second, followed by a two second pause, and the computer beeps two times?","It means the processor thermal protection has been activated. This could be due to a fan being blocked or not turning. It's recommended to ensure that the computer air vents are not blocked and the processor cooling fan is running. If the fan is not spinning, it should be checked if it's properly plugged onto the system board header and properly seated. If the fan is still not spinning, it should be replaced. The processor heatsink should also be reseated and verified that the fan assembly is properly attached. If the problem persists, it's advised to contact an authorized reseller or service provider."
115,"""What should I do if the system does not power on?### First, press and hold the power button for less than 4 seconds. If the hard drive LED turns green, check the voltage selector, remove the expansion cards one at a time until the 5V_aux light on the system board turns on, and if necessary, replace the system board. If the hard drive LED does not turn on green, ensure the unit is plugged into a working AC outlet, check that the power button harness is properly connected to the system board, verify that both power supply cables are properly connected to the system board, check the 5V_aux light on the system board, and if necessary, replace the power button harness, the power supply, or the system board.","""What should I do if the system does not power on?","First, press and hold the power button for less than 4 seconds. If the hard drive LED turns green, check the voltage selector, remove the expansion cards one at a time until the 5V_aux light on the system board turns on, and if necessary, replace the system board. If the hard drive LED does not turn on green, ensure the unit is plugged into a working AC outlet, check that the power button harness is properly connected to the system board, verify that both power supply cables are properly connected to the system board, check the 5V_aux light on the system board, and if necessary, replace the power button harness, the power supply, or the system board."
116,"""What should I do if the LEDs on the front of the computer are not flashing?### First, press and hold the power button for less than 4 seconds. If the hard drive LED turns green, check the voltage selector, remove the expansion cards one at a time until the 5V_aux light on the system board turns on, and if necessary, replace the system board. If the hard drive LED does not turn on green, ensure the unit is plugged into a working AC outlet, check that the power button harness is properly connected to the system board, verify that both power supply cables are properly connected to the system board, check the 5V_aux light on the system board, and if necessary, replace the power button harness, the power supply, or the system board.","""What should I do if the LEDs on the front of the computer are not flashing?","First, press and hold the power button for less than 4 seconds. If the hard drive LED turns green, check the voltage selector, remove the expansion cards one at a time until the 5V_aux light on the system board turns on, and if necessary, replace the system board. If the hard drive LED does not turn on green, ensure the unit is plugged into a working AC outlet, check that the power button harness is properly connected to the system board, verify that both power supply cables are properly connected to the system board, check the 5V_aux light on the system board, and if necessary, replace the power button harness, the power supply, or the system board."
117,"""What should I do if the voltage selector switch on the rear of the computer chassis is not switched to the correct line voltage?### The solution would be to select the proper AC voltage using the selector switch.","""What should I do if the voltage selector switch on the rear of the computer chassis is not switched to the correct line voltage?",The solution would be to select the proper AC voltage using the selector switch.
118,"""What should I do if there is an internal power supply fault?### If there is an internal power supply fault, the solution would be to contact an authorized service provider to replace the power supply.","""What should I do if there is an internal power supply fault?","If there is an internal power supply fault, the solution would be to contact an authorized service provider to replace the power supply."
119,"""What should I do if the processor fan is not spinning?### If the processor fan is not spinning, it should be checked if it's properly plugged onto the system board header and properly seated. If the fan is still not spinning, it should be replaced.","""What should I do if the processor fan is not spinning?","If the processor fan is not spinning, it should be checked if it's properly plugged onto the system board header and properly seated. If the fan is still not spinning, it should be replaced."
120,"""What should I do if the processor heatsink is not properly attached?### The processor heatsink should be reseated and verified that the fan assembly is properly attached. If the problem persists, it's advised to contact an authorized reseller or service provider.","""What should I do if the processor heatsink is not properly attached?","The processor heatsink should be reseated and verified that the fan assembly is properly attached. If the problem persists, it's advised to contact an authorized reseller or service provider."
121,"""What should I do if the fan in my computer is blocked or not turning? ### 1. Ensure that the computer air vents are not blocked and the processor cooling fan is running. 2. Open hood, press power button, and see if the processor fan spins. If the processor fan is not spinning, make sure the fan's cable is plugged onto the system board header. Ensure the fan is fully/properly seated or installed. 3. If fan is plugged in and seated properly, but is not spinning, then replace the processor fan. 4. Reseat processor heatsink and verify that the fan assembly is properly attached. 5. Contact an authorized reseller or service provider.","""What should I do if the fan in my computer is blocked or not turning?","1. Ensure that the computer air vents are not blocked and the processor cooling fan is running. 2. Open hood, press power button, and see if the processor fan spins. If the processor fan is not spinning, make sure the fan's cable is plugged onto the system board header. Ensure the fan is fully/properly seated or installed. 3. If fan is plugged in and seated properly, but is not spinning, then replace the processor fan. 4. Reseat processor heatsink and verify that the fan assembly is properly attached. 5. Contact an authorized reseller or service provider."
122,"""What should I do if the Power LED flashes Red four times, once every second, followed by a two second pause, and the computer beeps four times? ### This indicates a power failure (power supply is overloaded). 1. Check that the voltage selector, located on the rear of the power supply (some models), is set to the appropriate voltage. Proper voltage setting depends on your region. 2. Open the hood and ensure the 4-wire power supply cable is seated into the connector on the system board. 3. Check if a device is causing the problem by removing ALL attached devices (such as hard, diskette, or optical drives, and expansion cards). Power on the system. If the system enters the POST, then power off and replace one device at a time and repeat this procedure until failure occurs. Replace the device that is causing the failure. Continue adding devices one at a time to ensure all devices are functioning properly. 4. Contact an authorized service provider to replace the power supply. 5. Replace the system board.","""What should I do if the Power LED flashes Red four times, once every second, followed by a two second pause, and the computer beeps four times?","This indicates a power failure (power supply is overloaded). 1. Check that the voltage selector, located on the rear of the power supply (some models), is set to the appropriate voltage. Proper voltage setting depends on your region. 2. Open the hood and ensure the 4-wire power supply cable is seated into the connector on the system board. 3. Check if a device is causing the problem by removing ALL attached devices (such as hard, diskette, or optical drives, and expansion cards). Power on the system. If the system enters the POST, then power off and replace one device at a time and repeat this procedure until failure occurs. Replace the device that is causing the failure. Continue adding devices one at a time to ensure all devices are functioning properly. 4. Contact an authorized service provider to replace the power supply. 5. Replace the system board."
123,"""What should I do if the diskette drive light stays on? ### The diskette might be damaged. In Microsoft Windows XP, right-click Start , click Explore , and select a drive. Select File > Properties > Tools . Under Error-checking , click Check Now . If the diskette is incorrectly inserted, remove it and reinsert. If the drive cable is not properly connected, reconnect the drive cable. Ensure that all four pins on the diskette power cable are connected to the drive.","""What should I do if the diskette drive light stays on?","The diskette might be damaged. In Microsoft Windows XP, right-click Start , click Explore , and select a drive. Select File > Properties > Tools . Under Error-checking , click Check Now . If the diskette is incorrectly inserted, remove it and reinsert. If the drive cable is not properly connected, reconnect the drive cable. Ensure that all four pins on the diskette power cable are connected to the drive."
124,"""What should I do if the diskette drive is not found? ### The cable might be loose. Reseat the diskette drive data and power cable. If the removable drive is not seated properly, reseat the drive.","""What should I do if the diskette drive is not found?","The cable might be loose. Reseat the diskette drive data and power cable. If the removable drive is not seated properly, reseat the drive."
125,"""What should I do if the diskette drive cannot write to a diskette? ### The diskette might not be formatted. Format the diskette. 1. From Windows Explorer select the disk (A) drive. 2. Right-click the drive letter and select Format . 3. Select the desired options, and start the format process.","""What should I do if the diskette drive cannot write to a diskette?","The diskette might not be formatted. Format the diskette. 1. From Windows Explorer select the disk (A) drive. 2. Right-click the drive letter and select Format . 3. Select the desired options, and start the format process."
126,"""What should I do if the heatsink is not properly attached to the processor? ### Reseat the processor heatsink and verify that the fan assembly is properly attached. If the problem persists, contact an authorized reseller or service provider.","""What should I do if the heatsink is not properly attached to the processor?","Reseat the processor heatsink and verify that the fan assembly is properly attached. If the problem persists, contact an authorized reseller or service provider."
127,"""What should I do if the power supply is overloaded? ### Check that the voltage selector, located on the rear of the power supply (some models), is set to the appropriate voltage. Proper voltage setting depends on your region. If the problem persists, contact an authorized service provider to replace the power supply.","""What should I do if the power supply is overloaded?","Check that the voltage selector, located on the rear of the power supply (some models), is set to the appropriate voltage. Proper voltage setting depends on your region. If the problem persists, contact an authorized service provider to replace the power supply."
128,"""What should I do if a device is causing the system to fail? ### Remove all attached devices (such as hard, diskette, or optical drives, and expansion cards). Power on the system. If the system enters the POST, then power off and replace one device at a time and repeat this procedure until failure occurs. Replace the device that is causing the failure. Continue adding devices one at a time to ensure all devices are functioning properly.","""What should I do if a device is causing the system to fail?","Remove all attached devices (such as hard, diskette, or optical drives, and expansion cards). Power on the system. If the system enters the POST, then power off and replace one device at a time and repeat this procedure until failure occurs. Replace the device that is causing the failure. Continue adding devices one at a time to ensure all devices are functioning properly."
129,"""What should I do if the diskette is damaged? ### In Microsoft Windows XP, right-click Start , click Explore , and select a drive. Select File > Properties > Tools . Under Error-checking , click Check Now .","""What should I do if the diskette is damaged?","In Microsoft Windows XP, right-click Start , click Explore , and select a drive. Select File > Properties > Tools . Under Error-checking , click Check Now ."
130,"""What should I do if the diskette is incorrectly inserted? ### Remove the diskette and reinsert it properly.","""What should I do if the diskette is incorrectly inserted?",Remove the diskette and reinsert it properly.
131,"""What should I do if the drive cable is not properly connected? ### Reconnect the drive cable. Ensure that all four pins on the diskette power cable are connected to the drive.","""What should I do if the drive cable is not properly connected?",Reconnect the drive cable. Ensure that all four pins on the diskette power cable are connected to the drive.
132,"""What should I do if the removable drive is not seated properly? ### Reseat the drive. If the problem persists, contact an authorized service provider.","""What should I do if the removable drive is not seated properly?","Reseat the drive. If the problem persists, contact an authorized service provider."
133,"""How do you format a diskette from Windows Explorer?### From Windows Explorer, select the disk (A) drive. Right-click the drive letter and select Format. Select the desired options, and click Start to begin formatting the diskette.",How do you format a diskette from Windows Explorer?,"From Windows Explorer, select the disk (A) drive. Right-click the drive letter and select Format. Select the desired options, and click Start to begin formatting the diskette."
134,"What should you do if the diskette is write-protected?### If the diskette is write-protected, you should use another diskette or remove the write protection.",What should you do if the diskette is write-protected?,"If the diskette is write-protected, you should use another diskette or remove the write protection."
135,"What should you do if there is not enough space left on the diskette?### If there is not enough space left on the diskette, you should use another diskette or delete unneeded files from the diskette.",What should you do if there is not enough space left on the diskette?,"If there is not enough space left on the diskette, you should use another diskette or delete unneeded files from the diskette."
136,"What should you do if the diskette is damaged?### If the diskette is damaged, you should replace the damaged disk.",What should you do if the diskette is damaged?,"If the diskette is damaged, you should replace the damaged disk."
137,"What should you do if you cannot format the diskette?### If you cannot format the diskette, you may need to specify diskette capacity when formatting a disk in MS-DOS. For example, to format a 1.44-MB diskette, type the following command at the MS-DOS prompt: FORMAT A: /F:1440.",What should you do if you cannot format the diskette?,"If you cannot format the diskette, you may need to specify diskette capacity when formatting a disk in MS-DOS. For example, to format a 1.44-MB diskette, type the following command at the MS-DOS prompt: FORMAT A: /F:1440."
138,"What should you do if the diskette drive cannot read a diskette?### If the diskette drive cannot read a diskette, you should check the type of drive that you are using and use the correct diskette type. If the diskette is damaged, replace it with a new one.",What should you do if the diskette drive cannot read a diskette?,"If the diskette drive cannot read a diskette, you should check the type of drive that you are using and use the correct diskette type. If the diskette is damaged, replace it with a new one."
139,"What should you do if an 'Invalid system disk' message is displayed?### If an 'Invalid system disk' message is displayed, it means a diskette that does not contain the system files needed to start the computer has been inserted in the drive. When drive activity stops, remove the diskette and press the Spacebar. The computer should start up.",What should you do if an 'Invalid system disk' message is displayed?,"If an 'Invalid system disk' message is displayed, it means a diskette that does not contain the system files needed to start the computer has been inserted in the drive. When drive activity stops, remove the diskette and press the Spacebar. The computer should start up."
140,"What should you do if you cannot boot to a diskette?### If you cannot boot to a diskette, you should replace it with a bootable diskette. If diskette boot has been disabled in Computer Setup, run Computer Setup and enable diskette boot in Storage > Boot Order and in Storage > Storage Options > Removable Media Boot.",What should you do if you cannot boot to a diskette?,"If you cannot boot to a diskette, you should replace it with a bootable diskette. If diskette boot has been disabled in Computer Setup, run Computer Setup and enable diskette boot in Storage > Boot Order and in Storage > Storage Options > Removable Media Boot."
141,"What should you do if the diskette write control is enabled?### If the diskette write control is enabled, you should enter Computer Setup and enable Legacy Diskette Write in Storage > Storage Options.",What should you do if the diskette write control is enabled?,"If the diskette write control is enabled, you should enter Computer Setup and enable Legacy Diskette Write in Storage > Storage Options."
142,"What should you do if a problem has occurred with a disk transaction?### If a problem has occurred with a disk transaction, you should check the directory structure or the file. In Windows XP, right-click Start, click Explore, and select a drive. Select File > Properties > Tools. Under Error-checking, click Check Now.",What should you do if a problem has occurred with a disk transaction?,"If a problem has occurred with a disk transaction, you should check the directory structure or the file. In Windows XP, right-click Start, click Explore, and select a drive. Select File > Properties > Tools. Under Error-checking, click Check Now."
143,"What should you do if the disk may be write-protected?### If the disk may be write-protected, you should open the locking device on the diskette.",What should you do if the disk may be write-protected?,"If the disk may be write-protected, you should open the locking device on the diskette."
144,"What should you do if the network server mode is enabled in Computer Setup?### If the network server mode is enabled in Computer Setup, you should run Computer Setup and disable Network Server Mode in Security > Password Options.",What should you do if the network server mode is enabled in Computer Setup?,"If the network server mode is enabled in Computer Setup, you should run Computer Setup and disable Network Server Mode in Security > Password Options."
145,"""[""What is the solution if a hard drive error occurs due to bad sectors or failure? ### The solution is to use a utility to locate and block usage of bad sectors. If necessary, reformat the hard disk. In Windows XP, right-click Start, click Explore, and select a drive. Select File > Properties > Tools. Under Error-checking, click Check Now.","""What is the solution if a hard drive error occurs due to bad sectors or failure?","The solution is to use a utility to locate and block usage of bad sectors. If necessary, reformat the hard disk. In Windows XP, right-click Start, click Explore, and select a drive. Select File > Properties > Tools. Under Error-checking, click Check Now."
146,"""What should be done if a disk transaction problem occurs? ### In case of a disk transaction problem, you should check the file or directory structure. In Windows XP, right-click Start, click Explore, and select a drive. Select File > Properties > Tools. Under Error-checking, click Check Now.","""What should be done if a disk transaction problem occurs?","In case of a disk transaction problem, you should check the file or directory structure. In Windows XP, right-click Start, click Explore, and select a drive. Select File > Properties > Tools. Under Error-checking, click Check Now."
147,"""What is the solution if a drive is not found due to loose cable connections? ### The solution is to check the cable connections.","""What is the solution if a drive is not found due to loose cable connections?",The solution is to check the cable connections.
148,"""What should be done if the system does not recognize a newly installed device? ### You should see reconfiguration directions in the “Solving Hardware Installation Problems” section. If the system still does not recognize the new device, check to see if the device is listed within Computer Setup. If it is listed, the probable cause is a driver problem. If it is not listed, the probable cause is a hardware problem.","""What should be done if the system does not recognize a newly installed device?","You should see reconfiguration directions in the “Solving Hardware Installation Problems” section. If the system still does not recognize the new device, check to see if the device is listed within Computer Setup. If it is listed, the probable cause is a driver problem. If it is not listed, the probable cause is a hardware problem."
149,"""What should be done if a newly installed drive is not found? ### If this is a newly installed drive, enter Computer Setup and try adding a POST delay under Advanced > Power-On.","""What should be done if a newly installed drive is not found?","If this is a newly installed drive, enter Computer Setup and try adding a POST delay under Advanced > Power-On."
150,"""What is the solution if the drive jumper settings are incorrect? ### If the drive is a Master drive, set the jumper on the back of the drive to Master or Cable Select. If the drive is a Slave drive, set the jumper to Slave or Cable Select.","""What is the solution if the drive jumper settings are incorrect?","If the drive is a Master drive, set the jumper on the back of the drive to Master or Cable Select. If the drive is a Slave drive, set the jumper to Slave or Cable Select."
151,"""What should be done if the drive's controller is disabled in Computer Setup? ### Run Computer Setup and enable all the IDE and SATA controllers in Storage > Storage Options.","""What should be done if the drive's controller is disabled in Computer Setup?",Run Computer Setup and enable all the IDE and SATA controllers in Storage > Storage Options.
152,"""What is the solution if the drive responds slowly immediately after power-up? ### Run Computer Setup and increase the POST Delay in Advanced > Power-On Options.","""What is the solution if the drive responds slowly immediately after power-up?",Run Computer Setup and increase the POST Delay in Advanced > Power-On Options.
153,"""What should be done if a Nonsystem disk/NTLDR missing message appears? ### The system is trying to start from a diskette that is not bootable. Remove the diskette from the diskette drive. If the system is trying to start from the hard drive but the hard drive may have been damaged, insert a bootable diskette into the diskette drive and restart the computer. Check the hard drive format using fdisk.","""What should be done if a Nonsystem disk/NTLDR missing message appears?","The system is trying to start from a diskette that is not bootable. Remove the diskette from the diskette drive. If the system is trying to start from the hard drive but the hard drive may have been damaged, insert a bootable diskette into the diskette drive and restart the computer. Check the hard drive format using fdisk."
154,"""What should be done if the hard drive is inaccessible after booting to a diskette and MBR Security is enabled? ### You may try restoring the previously saved MBR image. To do so, enter Computer Setup and select Security > Restore Master Boot Record.","""What should be done if the hard drive is inaccessible after booting to a diskette and MBR Security is enabled?","You may try restoring the previously saved MBR image. To do so, enter Computer Setup and select Security > Restore Master Boot Record."
155,"""What should be done if Removable media boot has been disabled in Computer Setup? ### Run Computer Setup and enable Removable Media Boot in Storage > Storage Options > Removable Media Boot.","""What should be done if Removable media boot has been disabled in Computer Setup?",Run Computer Setup and enable Removable Media Boot in Storage > Storage Options > Removable Media Boot.
156,"""What should be done if Network Server Mode is in Security > Password Options? ### No specific action is mentioned in the provided text for this situation. More context or information is needed to provide a solution.","""What should be done if Network Server Mode is in Security > Password Options?",No specific action is mentioned in the provided text for this situation. More context or information is needed to provide a solution.
157,"""Hard drive boot has been disabled in Computer Setup. What is the solution?""### Run Computer Setup and enable the hard drive entry in the Storage > Boot Order list.","""Hard drive boot has been disabled in Computer Setup. What is the solution?""",Run Computer Setup and enable the hard drive entry in the Storage > Boot Order list.
158,"""Bootable hard drive is not attached as first in a multi-hard drive configuration. What should be done?""### If attempting to boot from an IDE hard drive, ensure it is attached as Primary Device 0. If attempting to boot from a SATA hard drive, ensure it is attached to SATA 0.","""Bootable hard drive is not attached as first in a multi-hard drive configuration. What should be done?""","If attempting to boot from an IDE hard drive, ensure it is attached as Primary Device 0. If attempting to boot from a SATA hard drive, ensure it is attached to SATA 0."
159,"""Bootable hard drive's controller is not listed first in the Boot Order. What is the solution?""### Enter Computer Setup and select Storage > Boot Order and ensure the bootable hard drive's controller is listed immediately under the Hard Drive entry.","""Bootable hard drive's controller is not listed first in the Boot Order. What is the solution?""",Enter Computer Setup and select Storage > Boot Order and ensure the bootable hard drive's controller is listed immediately under the Hard Drive entry.
160,"""Parallel ATA (PATA) hard drive does not perform optimally. What is the cause and solution?""### The cause is that you are using the wrong cable for the drive type. The solution is to reinstall the Ultra ATA hard drive using an 80-conductor cable.","""Parallel ATA (PATA) hard drive does not perform optimally. What is the cause and solution?""",The cause is that you are using the wrong cable for the drive type. The solution is to reinstall the Ultra ATA hard drive using an 80-conductor cable.
161,"""Computer will not start. What could be the cause and what should be done?""### The hard drive might be damaged. Observe if the front panel Power LED is blinking RED and if any beeps are heard. See Appendix A, “POST Error Messages” to determine possible causes for the blinking red and beep codes.","""Computer will not start. What could be the cause and what should be done?""","The hard drive might be damaged. Observe if the front panel Power LED is blinking RED and if any beeps are heard. See Appendix A, “POST Error Messages” to determine possible causes for the blinking red and beep codes."
162,"""Computer seems to be locked up. What could be the cause and what should be done?""### The program in use has stopped responding to commands. Attempt the normal Windows “Shut Down” procedure. If this fails, press the power button for four or more seconds to turn off the power. To restart the computer, press the power button again.","""Computer seems to be locked up. What could be the cause and what should be done?""","The program in use has stopped responding to commands. Attempt the normal Windows “Shut Down” procedure. If this fails, press the power button for four or more seconds to turn off the power. To restart the computer, press the power button again."
163,"""Drive not found. What could be the cause and what should be done?""### You attempted to hot plug a removable hard drive that has DriveLock security enabled. Shut down Windows and turn off the computer. Insert the drive into the MultiBay, if it is not already inserted. Turn on the computer.","""Drive not found. What could be the cause and what should be done?""","You attempted to hot plug a removable hard drive that has DriveLock security enabled. Shut down Windows and turn off the computer. Insert the drive into the MultiBay, if it is not already inserted. Turn on the computer."
164,"""MultiBay is hidden in Computer Setup. What is the solution?""### Enter Computer Setup and set MultiBay to Device Available.","""MultiBay is hidden in Computer Setup. What is the solution?""",Enter Computer Setup and set MultiBay to Device Available.
165,"""Nonsystem disk/NTLDR missing message. What could be the cause and what should be done?""### System files might be missing or not properly installed. Insert a bootable diskette into the diskette drive and restart the computer. Check the hard drive format using Fdisk. If the hard drive is still inaccessible after booting to a diskette and MBR Security is enabled, you may try restoring the previously saved MBR image. To do so, enter Computer Setup and select Security > Restore Master Boot Record.","""Nonsystem disk/NTLDR missing message. What could be the cause and what should be done?""","System files might be missing or not properly installed. Insert a bootable diskette into the diskette drive and restart the computer. Check the hard drive format using Fdisk. If the hard drive is still inaccessible after booting to a diskette and MBR Security is enabled, you may try restoring the previously saved MBR image. To do so, enter Computer Setup and select Security > Restore Master Boot Record."
166,"""If NFTFS formatting, what should be done to evaluate the drive?""### Use a third party reader to evaluate the drive.","""If NFTFS formatting, what should be done to evaluate the drive?""",Use a third party reader to evaluate the drive.
167,"""If FAT32 formatting, what should be done if the hard drive cannot be accessed?""### Replace the MBR image.","""If FAT32 formatting, what should be done if the hard drive cannot be accessed?""",Replace the MBR image.
168,"""Hard drive is still inaccessible after booting to a diskette and MBR Security is enabled. What should be done?""### You may try restoring the previously saved MBR image. To do so, enter Computer Setup and select Security > Restore Master Boot Record.","""Hard drive is still inaccessible after booting to a diskette and MBR Security is enabled. What should be done?""","You may try restoring the previously saved MBR image. To do so, enter Computer Setup and select Security > Restore Master Boot Record."
169,"""Where can you find the MultiBay setting in Computer Setup?### The MultiBay setting can be found in Computer Setup under Security > Device Security.","""Where can you find the MultiBay setting in Computer Setup?",The MultiBay setting can be found in Computer Setup under Security > Device Security.
170,"""What should you do if your screen is blank and the monitor light is not on?### You should turn on the monitor and check that the monitor light is on.","""What should you do if your screen is blank and the monitor light is not on?",You should turn on the monitor and check that the monitor light is on.
171,"""What is a possible solution if you have a bad monitor?### A possible solution is to try a different monitor.","""What is a possible solution if you have a bad monitor?",A possible solution is to try a different monitor.
172,"""What should you do if the cable connections are not correct?### You should check the cable connection from the monitor to the computer and to the electrical outlet.","""What should you do if the cable connections are not correct?",You should check the cable connection from the monitor to the computer and to the electrical outlet.
173,"""What should you do if the system ROM is bad and the system is running in FailSafe Boot Block mode?### You should reflash the ROM using a ROMPaq diskette.","""What should you do if the system ROM is bad and the system is running in FailSafe Boot Block mode?",You should reflash the ROM using a ROMPaq diskette.
174,"""What should you do if the computer is in standby mode?### You should press the power button to resume from standby mode.","""What should you do if the computer is in standby mode?",You should press the power button to resume from standby mode.
175,"""What should you do if the monitor cable is plugged into the wrong connector?### If the computer system has both an integrated graphics connector and an add-in graphics card connector, you should plug the monitor cable into the graphics card connector on the back of the computer.","""What should you do if the monitor cable is plugged into the wrong connector?","If the computer system has both an integrated graphics connector and an add-in graphics card connector, you should plug the monitor cable into the graphics card connector on the back of the computer."
176,"""What should you do if the monitor settings in the computer are not compatible with the monitor?### You should restart the computer, press F8 during startup, select Enable VGA Mode, and then reset the resolution in the Display settings.","""What should you do if the monitor settings in the computer are not compatible with the monitor?","You should restart the computer, press F8 during startup, select Enable VGA Mode, and then reset the resolution in the Display settings."
177,"""What should you do if the screen is blank and the power LED flashes Red five times, once every second, followed by a two second pause, and the computer beeps five times?### You should reseat DIMMs, replace DIMMs one at a time to isolate the faulty module, replace third-party memory with HP memory, and if necessary, replace the system board.","""What should you do if the screen is blank and the power LED flashes Red five times, once every second, followed by a two second pause, and the computer beeps five times?","You should reseat DIMMs, replace DIMMs one at a time to isolate the faulty module, replace third-party memory with HP memory, and if necessary, replace the system board."
178,"""What should you do if you have a screen blanking utility installed or energy saver features are enabled and your screen is blank?### You should press any key or click the mouse button and, if set, type your password.","""What should you do if you have a screen blanking utility installed or energy saver features are enabled and your screen is blank?","You should press any key or click the mouse button and, if set, type your password."
179,"""What should you do if you are using a fixed-sync monitor and it will not sync at the resolution chosen?### You should be sure that the monitor can accept the same horizontal scan rate as the resolution chosen.","""What should you do if you are using a fixed-sync monitor and it will not sync at the resolution chosen?",You should be sure that the monitor can accept the same horizontal scan rate as the resolution chosen.
180,"""What should you do if a PCI-Express graphics card is installed and the integrated graphics cannot be enabled?### If the graphics card is a standard PCI expansion card, you can enable the integrated graphics in Computer Setup. If a PCI-Express graphics card is installed, the integrated graphics cannot be enabled.","""What should you do if a PCI-Express graphics card is installed and the integrated graphics cannot be enabled?","If the graphics card is a standard PCI expansion card, you can enable the integrated graphics in Computer Setup. If a PCI-Express graphics card is installed, the integrated graphics cannot be enabled."
181,"""What should you do if the power LED flashes Red six times, once every second, followed by a two second pause, and the computer beeps six times? ### Pre-video graphics error. For systems with a graphics card: 1. Reseat the graphics card. Power on the system. 2. Replace the graphics card. 3. Replace the system board. For systems with integrated graphics, replace the system board.","""What should you do if the power LED flashes Red six times, once every second, followed by a two second pause, and the computer beeps six times?","Pre-video graphics error. For systems with a graphics card: 1. Reseat the graphics card. Power on the system. 2. Replace the graphics card. 3. Replace the system board. For systems with integrated graphics, replace the system board."
182,"""What should you do if the power LED flashes Red seven times, once every second, followed by a two second pause, and the computer beeps seven times? ### System board failure (ROM detected failure prior to video). Replace the system board.","""What should you do if the power LED flashes Red seven times, once every second, followed by a two second pause, and the computer beeps seven times?",System board failure (ROM detected failure prior to video). Replace the system board.
183,"""What could be the problem if the monitor does not function properly when used with energy saver features? ### Monitor without energy saver capabilities is being used with energy saver features enabled. Disable monitor energy saver feature.","""What could be the problem if the monitor does not function properly when used with energy saver features?",Monitor without energy saver capabilities is being used with energy saver features enabled. Disable monitor energy saver feature.
184,"""What could be the cause of dim characters on the monitor? ### The brightness and contrast controls are not set properly. Adjust the monitor brightness and contrast controls.","""What could be the cause of dim characters on the monitor?",The brightness and contrast controls are not set properly. Adjust the monitor brightness and contrast controls.
